logJ,VvsNHE,pH
-4.291509836930576,0.24592778713033006,1
-3.9917636121510593,0.2655142088997213,1
-3.5932159099474865,0.2865137315007915,1
-3.293469685167969,0.3061001532701828,1
-2.9920098494937064,0.3233307369531899,1
-2.596944646850424,0.3620211563104603,1
-4.293504861931203,0.3143596572778211,2
-3.992050051508832,0.3327701701047767,2
-3.5952209854518964,0.3573054599361793,2
-3.2938214528003216,0.38869519334656655,2
-2.994080253272695,0.4094615442599062,2
-2.597361742757356,0.4599552752581726,2
-3.992381718133621,0.41064549360536695,3
-3.5938691926932838,0.4399045202140758,3
-3.2941782456845647,0.4724701625668989,3
-2.994472222920174,0.5014960174878769,3
-2.5960501520138703,0.5519937686876557,3
-4.294318952737506,0.5055081785974522,4
-3.9928691675670236,0.525098620568356,4
-3.5961607075554665,0.5779522098545191,4
-3.2948918314530515,0.6400201010075631,4
-2.9954521470388698,0.7315822005578033,4
-2.5992009849493707,0.8918093419432651,4
-4.295208422322169,0.7143556370763084,6
-3.9955878288399207,0.7634402874444082,6
-3.5989698233623963,0.8375326013216414,6
-3.2942335234553632,0.8854493831503305,6
-2.994562677454208,0.9227347420789468,6
-2.5961406065479036,0.9732324932787259,6
-2.5979898992437,1.007446418251715,7
-2.9947084097590397,0.9569526872534488,7
-3.29782155330536,0.9279187919294456,7
-3.5974471720394985,0.8800140707052942,7
-3.994090303776477,0.8118214025478028,7
-4.298841679439182,0.7674444081509586,7
-4.295685821251791,0.8264489057514008,8
-3.996090354028996,0.8814332018392422,8
-3.5959747732355085,0.9342948315284304,8
-3.2980275886328805,0.9762958868313276,8
-2.9966682579964314,1.0171250533933014,8
-2.5999045202140763,1.0569994220960328,8
-2.598537651699792,1.136058694942084,9
-2.996914495339079,1.0749415814467702,9
-3.2966205181034702,1.0459157265257923,9
-3.5962762883489536,1.005090580165331,9
-3.992994798864293,0.9545968491670644,9
-4.2977059725118725,0.9007804216186336,9
-4.294504887057464,0.9491655569235408,10
-3.994909419834669,1.0041498530113822,10
-3.598231111334456,1.0640830171612354,10
-3.2985351390738464,1.09546873037011,10
-2.9955174753134504,1.1469212794291317,10
-2.602286489610292,1.2162858363275462,10
-2.6008040403025205,1.2682067388627858,11
-2.9991708334380265,1.2047297670795751,11
-3.2987964521721658,1.1568250458554237,11
-3.5984522224176487,1.1159998994949625,11
-3.9951204804140814,1.0537068770572129,11
-4.298097942159351,0.992814894846604,11
-4.299841704565441,1.0022503077966782,12
-3.996959722606096,1.085560943742305,12
-3.598618055730044,1.1549375612452577,12
-3.2989622854845604,1.195762707605719,12
-2.997602954848112,1.236591874167693,12
-2.5992612879720602,1.305968491670645,12
